Tweet ID, Author ID, Date Published, Tweet Text
1865055520656437308,750666783904845825,2024-12-06T15:27:41.000Z,"@MrAndyNgo Imagine that, a corrupt @DNC #Democrat https://t.co/b90zWx84C4"
1865055218783650275,1683081039453847552,2024-12-06T15:26:29.000Z,"@catturd2 The #Democrat strategy was to to flood 🇺🇸 swing states with unvetted single men of military age #IllegalImmigrants, 20 million+.  -&gt; paid for by the 🇺🇸 taxpayer.  -&gt; housed by the 🇺🇸 taxpayer.  -&gt; in debt to the #Democrats.  -&gt; rig the #SwingStates.  SUCH DANGEROUS BAD LOSERS -… https://t.co/DNjEg4OEpx"
1865047705363583419,1583841781476515846,2024-12-06T14:56:38.000Z,"Whether you're a #Democrat or #Republican black, white, green or yellow we all agree the #HealthCare system is #Terrible #WeThePeople need to #Unite and demand better Healthcare.  #OHP #Salem #Oregon enough is enough"
1865046200954589313,1865044982622470145,2024-12-06T14:50:39.000Z,"@elonmusk #Democrat rep @elonmusk for @realDonaldTrump  Lmao"
1865042167862808994,3018941818,2024-12-06T14:34:38.000Z,"@joncoopertweets “go down in history as a man who did irreparable harm to our nation — and our democracy”…  This could describe ANY #Democrat politician."
1865041773543755960,1574895367438704644,2024-12-06T14:33:04.000Z,"Why would I want to be apart of something that ends in “rat” #Democrat just saying.."
1865034669210689710,600662164,2024-12-06T14:04:50.000Z,"@elonmusk Can DOGE please cut funding to #NPR since it's #Democrat propoganda?"
1865034196378407234,768233740942258176,2024-12-06T14:02:57.000Z,"@scottmraas @YagerTweets I can bet you that very seldom, if not at all, would you see a principled #Democrat in TN taking this kind of walk of shame. The @tndp might not be perfect, but at least they won’t embarrass the state of #Tennessee the way @YagerTweets has and the way the rest of the @TNGOP does."
1865034095161397487,1586187966648647680,2024-12-06T14:02:33.000Z,"@TristanSnell ... and more #democrat whiners."
1865032770059112641,1583837277792387072,2024-12-06T13:57:17.000Z,"Typical #Democrat with their corruption! https://t.co/56DKUIcJSd"
1865031802601034202,1770857730565103616,2024-12-06T13:53:27.000Z,"If you are a #Democrat please explain how you can stand by this. https://t.co/vpwa8zTpnn"
1865028192408379395,2268289092,2024-12-06T13:39:06.000Z,"@blackintheempir The CIA may be gunning for @TuckerCarlson when he returns to #Democrat controlled #unitedstates."
1865025370552176694,1611133095318528002,2024-12-06T13:27:53.000Z,"They're all paid shills that repeat the same #democrat talking points. https://t.co/zYJTY9KC0V"
1865024359724716053,1809945577943408640,2024-12-06T13:23:52.000Z,"#Republicans try to UNDO #Democrat win!!  #Repubs running scared, as they may lose should one more State recount move to #Dems. #Repubs_NC at all levels file lawsuits trying to take away constituents' votes &amp; erase #Dem couple hundrled vote lead! #Pitiful  https://t.co/cN7N3w5grb"
1865023940294287403,1529851865688461312,2024-12-06T13:22:12.000Z,"Another #democrat #senator to get rid of! #WeThePeople are pissed off! https://t.co/dLbDrhFf61"
1865023102528164174,1529851865688461312,2024-12-06T13:18:52.000Z,"@nicksortor #RacePlay #racebaiter #disguisting #Democrat Everyday is Halloween for @SenJoniErnst and dresses up like a #republican and goes to work as a sneaky #evil #democrat"
1865022098265031166,1300647741396324355,2024-12-06T13:14:53.000Z,"@TristanSnell US spends more per pupil in world ans is 25th im education. Only a #Libtard #Democrat plant thinks this doesn’t need reform Go away 💩 4 🧠s"
1865021398239854800,1614487770143014912,2024-12-06T13:12:06.000Z,"@1zzyzyx1 @JasmineForUS Only cause u fucking dumbass Democrat assholes sold us our 11million illegals into the usa Billions $$$ to Ukraine  #Democrat asshole #Bidenworstpresidentever"
1865020120742986042,2268289092,2024-12-06T13:07:01.000Z,"@catturd2 Yes, we now know Joni Ernst is a #Democrat. The latest video is up @ThatCyberSecGuy ."
1865016077421367690,1564243489365311490,2024-12-06T12:50:57.000Z,"@SMArikat @TravelToEritrea @amnesty @JoeBiden #GenocideJoe's administration is full of self humiliating minorities who serve #israel to keep their once in a lifetime opportunity to serve a white supremacy administration disguised as #Democrat #liberal"
1865014592402804776,850786007603609600,2024-12-06T12:45:03.000Z,"@SenWarren These Assaults all took place under a #Democrat Defense Secretary!!!!  Further PROOF that everything DEMOCRATS touch, turns to a steaming pile of SCHIFF!"
1865009871386538370,2268289092,2024-12-06T12:26:18.000Z,"@JDunlap1974 She is a #Democrat! The latest video is up @ThatCyberSecGuy ."
1865009438932779121,1619009961429815300,2024-12-06T12:24:35.000Z,"@SpeakerPelosi San Francisco has no values.  You’re either blind or oblivious to the facts that #SanFrancisco became a shite hole under democrat control.  #Democrat agendas and policies literally ruined that once great city.  But that’s exactly what democrats do, they destroy everything!"
1865009027731853507,2268289092,2024-12-06T12:22:57.000Z,"@nicksortor She is a #Democrat! The latest video is up @ThatCyberSecGuy ."
1865008749615759664,1266336322681294849,2024-12-06T12:21:50.000Z,"@axios I thought no one was above the law???? Another #democrat lie"
1865007659470016953,1835735884320382976,2024-12-06T12:17:30.000Z,"@DefiyantlyFree @SenJoniErnst   1) We’re going to find out what the #democrat #deepstate has on you and 2) the good people of #Iowa are going to vote you out in 2026."
1864997044953202820,1416472767831199747,2024-12-06T11:35:20.000Z,"Since WWII ended, the world has never been in a more dangerous place than it is today. Weak #Democrat leadership allowed this to happen. #Gaza #Russia #iran #china #NorthKorea #Syria #KamalaHarris #Biden #israel #ukraine #europe #MiddleEast #wars https://t.co/ZTOFF1xyrp"
1864996985662550224,1843305722584371200,2024-12-06T11:35:06.000Z,"🤔 💭  I don't give a fuck. That's not my problem. #Connecticut is a #Democrat state. I'm in the #Independent party 🥳 🎉  #ThatsOnYou 💯 💶 https://t.co/7uVmwkoPBq"
1864996120738357373,1520549830245982212,2024-12-06T11:31:39.000Z,"@nicksortor That is #Democrat #101; accuse others of what you are doing!🤡"
1864995874868265042,29224068,2024-12-06T11:30:41.000Z,"#Democrat donors who ignored #JoeBiden’s state ‘blame him’ for election loss ‘more than themselves’ https://t.co/ulJRo3ns2V #DNC"
1864995724682736027,1843305722584371200,2024-12-06T11:30:05.000Z,"🤔 💭  What the fuck? That's not my problem. #Connecticut is a #Democrat state. I'm in the #Independent party 🥳 🎉  #ThatsOnYou 💯 💶 https://t.co/OdQ5YDeUtl"
1864984767541723499,256987788,2024-12-06T10:46:32.000Z,"#Democrat #governors spotlight they're the 'last line of defense' against #Trump ⚠️🤣🤡🃏☠️ https://t.co/B5RtgqjWr4"
1864980665730465885,3687317968,2024-12-06T10:30:15.000Z,"You can't hate #Michigan #Democrat scumbags enough. https://t.co/OZlbzJgXcF"
1864960497436467295,1629325498302988288,2024-12-06T09:10:06.000Z,"Hey Iowa,  @SenJoniErnst is making you look like #Democrat morons!       @TheIowaHawkeyes @uiowa @IowaGOP https://t.co/RY7fAzjMmW"
1864957440569086017,1683081039453847552,2024-12-06T08:57:57.000Z,"@CollinRugg The #Democrat strategy was to to flood 🇺🇸 swing states with unvetted single men of military age #IllegalImmigrants, 20 million+.  -&gt; paid for by the 🇺🇸 taxpayer.  -&gt; housed by the 🇺🇸 taxpayer.  -&gt; in debt to the #Democrats.  -&gt; rig the #SwingStates.  SUCH DANGEROUS BAD LOSERS -… https://t.co/cQiPnPpr4U"
1864945711218876845,63389060,2024-12-06T08:11:21.000Z,"So the #KamalaHarris #Democrat presidential campaign was no differant than the #hawktuahgirl #memecoin pump and dump. https://t.co/cTe6qiEmjI https://t.co/LXiDOARlaN"
1864933321391636807,1647515229050290177,2024-12-06T07:22:07.000Z,"You 96% of #Americans who voted #UniParty #GOP #Republican #RINO #Democrat instead of the many other alternate candidates who wanted to kick the US out of the #UN your judgement will be the #UnitedNations ruling over the USA thus putting disabled handicapped people like ME at… https://t.co/CLw9YifiGF https://t.co/HVd2otRAs4"
1864922977109713090,1817085745036668928,2024-12-06T06:41:00.000Z,"@Hind_Gaza @AbubakerAbedW The founder of #WCK #JoséAndrés is a #Biden/#Democrat supporter. The demonic hordes keep killing WCK staff. I haven't still heard a word from him to denounce the #Genocide or the murders of his staff.  All is very twisted. Of course, people need food. No alternatives, it seems."
1864920946433298432,22936941,2024-12-06T06:32:56.000Z,"@julieroginsky hello not too smart and dishonest hack lady, #unhinged #Democrat mouthpiece. The Trump administration won't separate families &amp; deport women and children that are established. #criminals out! Stop lying"
1864905783785517342,14082108,2024-12-06T05:32:41.000Z,"It's unfathomable that only a few 100,000 #Democrat voters that would have made the difference in the US *not suffering this fresh hell &amp; destruction for 4 more years.   Such idiots.   ‼️A pox on you all who didn't vote on 11/5. Everyone was well aware of these dangerous stakes‼️ https://t.co/VNiC1UNmn2"
1864903622892343622,1021765044,2024-12-06T05:24:06.000Z,"2/2 #DemocraticParty #Democrats #Democrat #STL #SaintLouis #SaintLouisMissouri #SaintLouisMO   With great love and respect,  Boris Abadzhyan - American Politician, Political Scientist, Foreign Policy Specialist and Human Rights Activist 🇺🇸"
1864901412938727588,3178565160,2024-12-06T05:15:19.000Z,"@MrJeromeTrammel The #Democrat men refuse to respect women boundaries 😒 it's time for the #Democrats to go to the workplace training: respecting boundaries."
1864900489340424285,2221770000,2024-12-06T05:11:39.000Z,"@EricLDaugh What a fool!  The globe has witnessed the depth of the #Democrat corruption and living through the hell they created!  What’s worse, is the extent and depth of their crimes that will come to light!  #childAbuse #ChildExploitation"
1864886331802853721,1797720921022894080,2024-12-06T04:15:24.000Z,"@Liz_Wheeler Sounds like a #Democrat"
1864885337417306222,1797720921022894080,2024-12-06T04:11:26.000Z,"@DC_Draino Must be a #Democrat"
1864882562880929952,1395933812656427010,2024-12-06T04:00:25.000Z,"@ananavarro Lookin for attention? Just enjoy your privilege. #obese #rich #democrat"
1864881980631871992,1864795622026498048,2024-12-06T03:58:06.000Z,"I agree with most people on #X that say @JohnFetterman has been great from the #Democrat party.  Was he like this before having a stroke?"
1864879698553233911,1544699585691496448,2024-12-06T03:49:02.000Z,"Incredible #democrat https://t.co/KtiFri8KDO"
1864878198736957754,1519306495883722752,2024-12-06T03:43:04.000Z,"@bennyjohnson There has never been gaslighting and projecting like the modern #democrat party 💩💩💩🐑🐑🐑🤡🤡🤡"
1864878170471555266,1519306495883722752,2024-12-06T03:42:58.000Z,"There has never been gaslighting and projecting like the modern #democrat party 💩💩💩🐑🐑🐑🤡🤡🤡 https://t.co/fkwOIBEiaK"
1864875985805398335,16415773,2024-12-06T03:34:17.000Z,"@AGRobBonta @maddow @MSNBC, the #perverted #Democrat party's propaganda coalition of Legacy Media! It's a #perversion of thought and ideology."
1864870315748397076,1515348463449362435,2024-12-06T03:11:45.000Z,"@Deekleek625 @grantcohn That has nothing to do with Grunt being a #Democrat. Except that it will get him in hot water on Judgement Day. ⚖️  You’re godless trash. 🗑️"
1864868992348823933,1564243489365311490,2024-12-06T03:06:30.000Z,"@elonmusk @SenFettermanPA The white supremacist lurking and masquerading as a blue collar #Democrat from #Pennsylvania 😂"
1864867716794061197,1823388688325173248,2024-12-06T03:01:25.000Z,"@TaraBull808 While #Democrat states still counting votes 😂"
1864867351079879104,1671165483712933892,2024-12-06T02:59:58.000Z,"@Fernand46357857 #trump winner .. #democrat lost"
1864863019152318524,1545504402324193281,2024-12-06T02:42:45.000Z,"@WintersPolitics @SenFettermanPA is the only #Democrat who has any common sense."
1864858181069082666,126867039,2024-12-06T02:23:32.000Z,"@MarioNawfal And the alternative was a candidate who just let tens of millions of people into the country and resided to require identification at the voting booth, all in order to try to harvest more votes for herself and her fellow #Democrat candidates … and THAT’S supposed to be someone… https://t.co/RQgvfeN1fu"
1864856601305469242,1672191324,2024-12-06T02:17:15.000Z,"Every #Democrat https://t.co/xV700onnUz https://t.co/AJ83UQJy3O"
1864854572172546353,24848581,2024-12-06T02:09:11.000Z,"@bennyjohnson Dan Goldman, #Democrat multimillionaire, bloviating again."
1864852448856482285,1547769880350363649,2024-12-06T02:00:45.000Z,"@danielsgoldman @elonmusk @DOGE Typical lying #Democrat and worse, trying to scare Americans for political points.  Great news… nobody believes their bullshit anymore; except for morons.  #DemocratsHateAmerica #DOGE"
1864851324933685490,1853837403221336064,2024-12-06T01:56:17.000Z,"#Fetterman is pretty retarded and is the only rational #Democrat  Says lots about the party and it's supporters!   Another week and the left will be calling him a #Russian asset"
1864847891145044416,1138725553,2024-12-06T01:42:39.000Z,"@amuse The #Democrat Admin &amp; their stooges at the CIA are trying to muck things up around the World for the incoming #Trump Admin !!! That's what is going on."
